lead_id,full_name,phone,source,interest_course,branch,assigned_to,created_date,status
L0037,Sevara Abdullaova,+998993692125,instagram,Frontend,Sergeli,Diyor Yusupov,2025-09-05,enrolled
L0038,Sitora Norqulova,+998883818131,telegram,SMM,Chilonzor,Farrux Jo'raov,2025-09-02,new
L0039,Muhammadali Ibrohimov,+998984880358,referral,Grafik Dizayn,Sergeli,Diyor Yusupov,2025-09-27,contacted
L0040,Shoxrux Karimov,+998937859691,telegram,Data Science,Chilonzor,Sirojiddin Xolmatov,2025-09-30,new
L0041,Iroda Yusufova,+998771293331,instagram,Frontend,Yunusobod,Sanjar Xolmatov,2025-09-04,trial
L0042,Shuhrat Yoqubov,+998932100831,referral,Backend,Yunusobod,Farrux Jo'raov,2025-09-03,contacted
L0043,Kamola Tojiboyova,+998942247224,telegram,Frontend,Sergeli,Sirojiddin Xolmatov,2025-09-25,contacted
L0044,Sabina Ahmadova,+998903923630,instagram,Backend,Yunusobod,Sanjar Xolmatov,2025-09-27,contacted
L0045,Abdulloh Rashidov,+998888762929,walk_in,Frontend,Chilonzor,Diyor Islomov,2025-09-29,enrolled
L0046,Aziza Nishonova,+998935233000,telegram,AI Asoslari,Chilonzor,Lola Rustamova,2025-09-01,new
L0047,Zafar Norqulov,+998952351165,walk_in,Ingliz tili,Chilonzor,Diyor Islomov,2025-09-27,trial
L0048,Xurshid Yusufov,+998337868860,telegram,Backend,Chilonzor,Diyor Islomov,2025-09-15,lost
L0049,Munisa Yoqubova,+998333749325,instagram,Ingliz tili,Yunusobod,Yulduz Xudoyberdiova,2025-09-11,trial
L0050,Nodir Saidov,+998915067957,walk_in,Grafik Dizayn,Chilonzor,Sirojiddin Xolmatov,2025-09-05,lost
L0051,Botir Yusupov,+998947860261,google,Backend,Chilonzor,Diyor Islomov,2025-09-14,new
L0052,Sabina Yoqubova,+998558598927,instagram,Data Science,Chilonzor,Diyor Yusupov,2025-09-23,new
L0053,Zebo Ergashova,+998982115332,referral,Grafik Dizayn,Yunusobod,Sirojiddin Xolmatov,2025-09-06,contacted
L0054,Zafar Qodirov,+998552831762,referral,Backend,Sergeli,Diyor Islomov,2025-09-24,enrolled
L0055,Jamshid Umarov,+998779771312,telegram,Backend,Yunusobod,Akmal Yusufov,2025-09-27,lost
L0056,Farrux Norqulov,+998982232881,google,Frontend,Sergeli,Yulduz Xudoyberdiova,2025-09-15,new
L0057,Ravshan Toshpulatov,+998919102501,hh,Frontend,Chilonzor,Yulduz Xudoyberdiova,2025-09-03,enrolled
L0058,Sirojiddin Yusupov,+998559026947,referral,SMM,Yunusobod,Diyor Islomov,2025-09-21,enrolled
L0059,Nilufar Saidova,+998936979103,telegram,Grafik Dizayn,Sergeli,Farrux Jo'raov,2025-09-28,lost
L0060,Islom Boltaov,+998984040474,referral,AI Asoslari,Chilonzor,Yulduz Xudoyberdiova,2025-09-30,contacted
L0061,Sirojiddin Saidov,+998956916004,hh,Backend,Yunusobod,Diyor Islomov,2025-09-15,trial
L0062,Diyora Karimova,+998997999268,instagram,Frontend,Sergeli,Diyor Yusupov,2025-09-24,enrolled
L0063,Kamola Rashidova,+998956330473,instagram,Frontend,Sergeli,Akmal Yusufov,2025-09-30,enrolled
L0064,Sabina Abdullaova,+998957544189,facebook,AI Asoslari,Chilonzor,Sanjar Xolmatov,2025-09-25,trial
L0065,Kamola Yusupova,+998552287066,instagram,Backend,Yunusobod,Akmal Yusufov,2025-09-12,contacted
L0066,Madina Sharipova,+998913032687,walk_in,Data Science,Sergeli,Farrux Jo'raov,2025-09-29,trial
L0067,Sabina Toshpulatova,+998886477937,google,Backend,Yunusobod,Sirojiddin Xolmatov,2025-09-26,lost
L0068,Shirin Ahmadova,+998989923264,instagram,AI Asoslari,Sergeli,Lola Rustamova,2025-09-02,lost
L0069,Nodir Umarov,+998559554465,walk_in,SMM,Chilonzor,Lola Rustamova,2025-09-21,new
L0070,Umida Yusupova,+998988025509,telegram,Grafik Dizayn,Sergeli,Farrux Jo'raov,2025-09-02,lost
L0071,Diyor Xolmatov,+998948529765,instagram,Frontend,Chilonzor,Akmal Yusufov,2025-09-27,new
L0072,Sherzod Qodirov,+998988273159,referral,Data Science,Chilonzor,Akmal Yusufov,2025-09-17,contacted
L0073,Sardor Hoshimov,+998888461787,referral,AI Asoslari,Yunusobod,Diyor Yusupov,2025-09-14,lost
L0074,Malika Yusupova,+998889183253,walk_in,Grafik Dizayn,Chilonzor,Farrux Jo'raov,2025-09-20,enrolled
L0075,Davron Ibrohimov,+998904932903,telegram,SMM,Chilonzor,Sirojiddin Xolmatov,2025-09-10,trial
L0076,Shuhrat Tursunov,+998936540533,telegram,Data Science,Yunusobod,Diyor Yusupov,2025-09-16,contacted
L0077,Sirojiddin Sharipov,+998943566989,hh,Ingliz tili,Chilonzor,Sirojiddin Xolmatov,2025-09-08,enrolled
L0078,Malika Tojiboyova,+998996536799,walk_in,Grafik Dizayn,Chilonzor,Diyor Yusupov,2025-09-08,trial
L0079,Yulduz Yusupova,+998331899566,referral,Frontend,Sergeli,Farrux Jo'raov,2025-09-21,contacted
L0080,Barno Abdurahmonova,+998554331349,referral,AI Asoslari,Chilonzor,Sanjar Xolmatov,2025-09-01,trial
L0081,Gulnora Yusufova,+998951234156,walk_in,Data Science,Chilonzor,Sanjar Xolmatov,2025-09-25,new
L0082,Lola Hasanova,+998952841446,telegram,Backend,Chilonzor,Farrux Jo'raov,2025-09-06,new
L0083,Gulbahor Ahmadova,+998772119693,telegram,SMM,Sergeli,Farrux Jo'raov,2025-09-26,lost
L0084,Umida Saidova,+998884926616,hh,Data Science,Yunusobod,Farrux Jo'raov,2025-09-03,trial
L0085,Dilnoza Nazarova,+998976527788,instagram,SMM,Yunusobod,Yulduz Xudoyberdiova,2025-09-22,new
L0086,Nargiza Ibrohimova,+998973803375,instagram,SMM,Chilonzor,Farrux Jo'raov,2025-09-11,lost
L0087,Jamshid Tojiboyov,+998779119346,facebook,Ingliz tili,Sergeli,Diyor Islomov,2025-09-09,lost
L0088,Sabina Nazarova,+998977427089,telegram,AI Asoslari,Chilonzor,Diyor Islomov,2025-09-07,lost
L0089,Akmal Abdurahmonov,+998558989854,referral,Grafik Dizayn,Yunusobod,Sirojiddin Xolmatov,2025-09-21,new
L0090,Sevara Xolmatova,+998554399587,hh,Backend,Sergeli,Lola Rustamova,2025-09-13,trial
L0091,Madina Abdullaova,+998558934554,hh,Ingliz tili,Sergeli,Yulduz Xudoyberdiova,2025-09-30,lost
L0092,Shuhrat Rustamov,+998973106764,walk_in,SMM,Chilonzor,Farrux Jo'raov,2025-09-20,lost
L0093,Munisa Saidova,+998981953481,instagram,Data Science,Sergeli,Sanjar Xolmatov,2025-09-28,contacted
L0094,Madina Rustamova,+998976067173,facebook,SMM,Yunusobod,Yulduz Xudoyberdiova,2025-09-12,contacted
L0095,Kamola Jo'raova,+998985025480,telegram,AI Asoslari,Yunusobod,Diyor Islomov,2025-09-23,trial
L0096,Anvar Sobirov,+998557252241,telegram,SMM,Yunusobod,Lola Rustamova,2025-09-18,trial
L0097,Zarina Saidova,+998993567807,hh,Data Science,Chilonzor,Sanjar Xolmatov,2025-09-18,contacted
L0098,Rustam Rustamov,+998884497839,facebook,Data Science,Chilonzor,Akmal Yusufov,2025-09-21,contacted
L0099,Nargiza Tojiboyova,+998981289344,telegram,Ingliz tili,Sergeli,Lola Rustamova,2025-09-15,contacted
L0100,Shoxrux Nishonov,+998556036095,telegram,Grafik Dizayn,Yunusobod,Akmal Yusufov,2025-09-21,trial
L0101,Jamshid Ahmadov,+998559747948,instagram,Data Science,Chilonzor,Lola Rustamova,2025-09-10,contacted
L0102,Sevara Yoqubova,+998985733535,instagram,Ingliz tili,Yunusobod,Diyor Yusupov,2025-09-05,lost
L0103,Madina Islomova,+998334693071,instagram,Backend,Sergeli,Lola Rustamova,2025-09-16,lost
L0104,Shoxrux Ibrohimov,+998779089447,telegram,Frontend,Chilonzor,Diyor Yusupov,2025-09-24,new
L0105,Akmal Tursunov,+998552633707,referral,Backend,Sergeli,Yulduz Xudoyberdiova,2025-09-02,contacted
L0106,Ravshan Xudoyberdiov,+998932918168,telegram,SMM,Yunusobod,Lola Rustamova,2025-09-18,new
L0107,Muhammadali Abdurahmonov,+998881296424,instagram,Frontend,Sergeli,Diyor Yusupov,2025-09-06,contacted
L0108,Shirin Qodirova,+998559155887,hh,Ingliz tili,Yunusobod,Sanjar Xolmatov,2025-09-26,new
L0109,Barno Yusufova,+998991904697,telegram,Frontend,Chilonzor,Diyor Yusupov,2025-09-18,enrolled
L0110,Sanjar Yusupov,+998778347651,instagram,Ingliz tili,Chilonzor,Lola Rustamova,2025-09-29,trial
L0111,Sevara G'aniova,+998994192527,referral,AI Asoslari,Yunusobod,Yulduz Xudoyberdiova,2025-09-07,new
L0112,Botir Sobirov,+998911832850,telegram,Grafik Dizayn,Chilonzor,Sirojiddin Xolmatov,2025-09-08,new
L0113,Sitora Xudoyberdiova,+998989414619,telegram,AI Asoslari,Sergeli,Sanjar Xolmatov,2025-09-23,enrolled
L0114,Shuhrat Sobirov,+998771735524,referral,Grafik Dizayn,Sergeli,Diyor Islomov,2025-09-03,enrolled
L0115,Nigora Norqulova,+998905432165,instagram,AI Asoslari,Yunusobod,Diyor Yusupov,2025-09-17,enrolled
L0116,Kamola Saidova,+998338175489,instagram,Backend,Chilonzor,Yulduz Xudoyberdiova,2025-09-04,contacted
L0117,Munisa Yusupova,+998971254630,referral,AI Asoslari,Chilonzor,Lola Rustamova,2025-09-07,enrolled
L0118,Alisher G'aniov,+998947074264,instagram,Grafik Dizayn,Sergeli,Akmal Yusufov,2025-09-18,trial
L0119,Nilufar Tursunova,+998932979940,walk_in,AI Asoslari,Sergeli,Sirojiddin Xolmatov,2025-09-30,enrolled
L0120,Lola Ergashova,+998557824721,referral,Grafik Dizayn,Sergeli,Sanjar Xolmatov,2025-09-07,trial
L0121,Nodir Yusupov,+998938082469,telegram,AI Asoslari,Yunusobod,Lola Rustamova,2025-09-15,contacted
L0122,Akmal Hoshimov,+998936286491,walk_in,Frontend,Sergeli,Farrux Jo'raov,2025-09-08,contacted
L0123,Davron Tojiboyov,+998953887531,walk_in,Backend,Sergeli,Farrux Jo'raov,2025-09-19,trial
L0124,Sirojiddin Karimov,+998979819916,referral,Data Science,Chilonzor,Diyor Islomov,2025-09-20,trial
L0125,Ravshan Toshpulatov,+998774693972,referral,Data Science,Sergeli,Sirojiddin Xolmatov,2025-09-16,trial
L0126,Lola Karimova,+998904899326,instagram,Backend,Sergeli,Sirojiddin Xolmatov,2025-09-02,enrolled
L0127,Davron Ibrohimov,+998981008909,instagram,Backend,Chilonzor,Diyor Islomov,2025-09-04,trial
L0128,Jamshid Yoqubov,+998934684429,google,Frontend,Yunusobod,Yulduz Xudoyberdiova,2025-09-17,contacted
L0129,Zafar Norqulov,+998986558941,referral,AI Asoslari,Sergeli,Sanjar Xolmatov,2025-09-22,new
L0130,Islom Hasanov,+998996063135,telegram,Data Science,Yunusobod,Akmal Yusufov,2025-09-03,lost
L0131,Anvar Qodirov,+998336838973,google,Grafik Dizayn,Chilonzor,Farrux Jo'raov,2025-09-10,lost
L0132,Sitora Hasanova,+998915650711,hh,AI Asoslari,Chilonzor,Farrux Jo'raov,2025-09-28,trial
L0133,Farrux Hasanov,+998771310238,hh,SMM,Sergeli,Diyor Yusupov,2025-10-11,contacted
L0134,Sanjar Jo'raov,+998902523541,hh,Grafik Dizayn,Yunusobod,Diyor Yusupov,2025-10-01,contacted
L0135,Rustam Jo'raov,+998982868734,referral,SMM,Sergeli,Akmal Yusufov,2025-10-15,enrolled
L0136,Kamola Boltaova,+998919228506,instagram,Backend,Chilonzor,Akmal Yusufov,2025-10-21,trial
L0137,Shuhrat Rustamov,+998993552410,telegram,Frontend,Chilonzor,Diyor Yusupov,2025-10-26,lost
L0138,Shirin Yusufova,+998911843575,instagram,SMM,Yunusobod,Akmal Yusufov,2025-10-25,lost
L0139,Mehriniso Rustamova,+998981106281,instagram,Grafik Dizayn,Sergeli,Sirojiddin Xolmatov,2025-10-25,contacted
L0140,Dilnoza Nishonova,+998992017748,referral,Backend,Yunusobod,Diyor Islomov,2025-10-25,lost
L0141,Shuhrat Rustamov,+998945222200,referral,Backend,Chilonzor,Diyor Islomov,2025-10-26,trial
L0142,Elyor Ergashov,+998997120463,hh,Grafik Dizayn,Yunusobod,Akmal Yusufov,2025-10-29,trial
L0143,Barno Toshpulatova,+998336456254,instagram,SMM,Chilonzor,Farrux Jo'raov,2025-10-06,contacted
L0144,Gulnora Ergashova,+998996440454,walk_in,SMM,Chilonzor,Diyor Islomov,2025-10-02,trial
L0145,Nilufar Abdurahmonova,+998556896024,instagram,SMM,Sergeli,Lola Rustamova,2025-10-29,trial
L0146,Sabina Tursunova,+998933526895,instagram,SMM,Yunusobod,Lola Rustamova,2025-10-04,lost
L0147,Kamola Rashidova,+998557757526,telegram,Data Science,Sergeli,Farrux Jo'raov,2025-10-21,new
L0148,Shahnoza Hoshimova,+998337924041,instagram,Ingliz tili,Yunusobod,Diyor Islomov,2025-10-24,enrolled
L0149,Aziz Nishonov,+998995268182,referral,Backend,Chilonzor,Farrux Jo'raov,2025-10-14,contacted
L0150,Aziza Karimova,+998996764958,walk_in,Data Science,Yunusobod,Yulduz Xudoyberdiova,2025-10-05,contacted
L0151,Sherzod Norqulov,+998917354886,referral,Ingliz tili,Chilonzor,Diyor Islomov,2025-10-12,contacted
L0152,Zebo Xolmatova,+998887056889,telegram,SMM,Yunusobod,Sanjar Xolmatov,2025-10-06,enrolled
L0153,Kamola Ahmadova,+998339267980,instagram,Backend,Sergeli,Farrux Jo'raov,2025-10-07,trial
L0154,Muhammadali Jo'raov,+998998784435,referral,AI Asoslari,Chilonzor,Sirojiddin Xolmatov,2025-10-04,enrolled
L0155,Islom Jo'raov,+998554977109,instagram,Backend,Sergeli,Diyor Islomov,2025-10-27,contacted
L0156,Munisa Ahmadova,+998932286459,telegram,SMM,Chilonzor,Yulduz Xudoyberdiova,2025-10-12,trial
L0157,Diyora Nishonova,+998918821825,facebook,Grafik Dizayn,Yunusobod,Yulduz Xudoyberdiova,2025-10-17,lost
L0158,Shahnoza Xolmatova,+998933023546,referral,Frontend,Chilonzor,Lola Rustamova,2025-10-19,enrolled
L0159,Ozoda Ergashova,+998975082527,referral,SMM,Sergeli,Farrux Jo'raov,2025-10-26,contacted
L0160,Ravshan Qodirov,+998882162751,instagram,AI Asoslari,Chilonzor,Yulduz Xudoyberdiova,2025-10-28,lost
L0161,Sherzod Rustamov,+998889578833,instagram,Frontend,Sergeli,Sanjar Xolmatov,2025-10-10,contacted
L0162,Sanjar Saidov,+998947394223,instagram,Grafik Dizayn,Chilonzor,Akmal Yusufov,2025-10-24,enrolled
L0163,Shoxrux Boltaov,+998996908037,telegram,AI Asoslari,Yunusobod,Sirojiddin Xolmatov,2025-10-09,contacted
L0164,Shahnoza Norqulova,+998946858660,telegram,Backend,Sergeli,Diyor Islomov,2025-10-05,enrolled
L0165,Sanjar Ergashov,+998945875646,instagram,Grafik Dizayn,Sergeli,Sanjar Xolmatov,2025-10-25,contacted
L0166,Alisher Xudoyberdiov,+998917229329,hh,Frontend,Yunusobod,Lola Rustamova,2025-10-30,trial
L0167,Zarina G'aniova,+998904388848,telegram,Grafik Dizayn,Chilonzor,Farrux Jo'raov,2025-10-18,new
L0168,Elyor Qodirov,+998991304833,hh,SMM,Chilonzor,Lola Rustamova,2025-10-31,new
L0169,Sherzod Jo'raov,+998944184727,instagram,Data Science,Chilonzor,Farrux Jo'raov,2025-10-10,new
L0170,Nilufar Sobirova,+998775192292,google,Data Science,Chilonzor,Akmal Yusufov,2025-10-11,new
L0171,Jasur Jo'raov,+998907215822,instagram,Frontend,Chilonzor,Diyor Yusupov,2025-10-30,enrolled
L0172,Shuhrat Umarov,+998332565518,google,Grafik Dizayn,Yunusobod,Sanjar Xolmatov,2025-10-03,enrolled
L0173,Sirojiddin Islomov,+998331039272,referral,Grafik Dizayn,Sergeli,Lola Rustamova,2025-10-11,lost
L0174,Feruza Karimova,+998909917953,hh,Frontend,Chilonzor,Lola Rustamova,2025-10-08,trial
L0175,Bekzod Ergashov,+998991241701,referral,AI Asoslari,Sergeli,Sirojiddin Xolmatov,2025-10-05,contacted
L0176,Jamshid Saidov,+998916086013,google,Backend,Yunusobod,Lola Rustamova,2025-10-21,contacted
L0177,Barno Ahmadova,+998989354146,telegram,Frontend,Chilonzor,Sirojiddin Xolmatov,2025-10-10,lost
L0178,Zarina Ahmadova,+998952567939,walk_in,Grafik Dizayn,Sergeli,Diyor Yusupov,2025-10-02,new
L0179,Farrux Islomov,+998991116940,telegram,Frontend,Chilonzor,Lola Rustamova,2025-10-21,enrolled
L0180,Sirojiddin Abdullaov,+998332692829,walk_in,Frontend,Sergeli,Sanjar Xolmatov,2025-10-09,lost
L0181,Aziz Abdurahmonov,+998934954150,instagram,Frontend,Yunusobod,Diyor Islomov,2025-10-15,enrolled
L0182,Botir Tursunov,+998883175047,telegram,Backend,Sergeli,Diyor Islomov,2025-10-04,contacted
L0183,Sitora Yusufova,+998553699323,instagram,Ingliz tili,Yunusobod,Diyor Islomov,2025-10-21,trial
L0184,Shirin Abdullaova,+998972095612,referral,Ingliz tili,Yunusobod,Diyor Islomov,2025-10-11,lost
L0185,Bekzod Sobirov,+998911912915,telegram,Backend,Yunusobod,Sirojiddin Xolmatov,2025-10-30,new
L0186,Sanjar Abdullaov,+998901129820,telegram,AI Asoslari,Chilonzor,Sirojiddin Xolmatov,2025-10-02,new
L0187,Aziz Sharipov,+998942261617,google,Data Science,Yunusobod,Sirojiddin Xolmatov,2025-10-16,enrolled
L0188,Sitora Xudoyberdiova,+998552616284,referral,AI Asoslari,Chilonzor,Diyor Islomov,2025-10-20,enrolled
L0189,Anvar Yusupov,+998903480715,instagram,Backend,Chilonzor,Lola Rustamova,2025-10-30,enrolled
L0190,Ulug'bek Yusupov,+998912193355,telegram,AI Asoslari,Yunusobod,Sanjar Xolmatov,2025-10-20,enrolled
L0191,Madina Abdurahmonova,+998909696671,walk_in,Ingliz tili,Yunusobod,Lola Rustamova,2025-10-23,trial
L0192,Umid Abdurahmonov,+998945014548,google,Backend,Chilonzor,Sanjar Xolmatov,2025-10-15,new
L0193,Islom Karimov,+998976396569,instagram,Frontend,Sergeli,Lola Rustamova,2025-10-11,new
L0194,Iroda Mirzaova,+998945369566,hh,Frontend,Sergeli,Yulduz Xudoyberdiova,2025-10-30,trial
L0195,Davron Karimov,+998884906320,hh,Frontend,Sergeli,Diyor Yusupov,2025-10-04,contacted
L0196,Munisa Rashidova,+998778986532,instagram,AI Asoslari,Chilonzor,Akmal Yusufov,2025-10-19,lost
L0197,Jasur Xolmatov,+998974300187,telegram,Data Science,Yunusobod,Diyor Yusupov,2025-10-15,new
L0198,Gulchehra Ergashova,+998957675861,instagram,SMM,Chilonzor,Yulduz Xudoyberdiova,2025-10-28,contacted
L0199,Nargiza Sobirova,+998916306623,walk_in,Data Science,Yunusobod,Akmal Yusufov,2025-10-22,enrolled
L0200,Nilufar Karimova,+998942801493,telegram,AI Asoslari,Yunusobod,Diyor Yusupov,2025-10-02,new
L0201,Otabek Umarov,+998773862577,telegram,Backend,Yunusobod,Lola Rustamova,2025-10-29,enrolled
L0202,Kamola Saidova,+998333962509,instagram,Grafik Dizayn,Yunusobod,Farrux Jo'raov,2025-10-19,contacted
L0203,Shirin Hasanova,+998902468603,referral,SMM,Yunusobod,Diyor Yusupov,2025-10-01,new
L0204,Lola Abdullaova,+998881298828,facebook,Data Science,Yunusobod,Akmal Yusufov,2025-10-01,lost
L0205,Diyora Umarova,+998885940802,google,AI Asoslari,Yunusobod,Sirojiddin Xolmatov,2025-10-21,contacted
L0206,Sanjar Xolmatov,+998886845356,walk_in,Frontend,Sergeli,Akmal Yusufov,2025-10-09,new
L0207,Jasur Boltaov,+998976831669,instagram,AI Asoslari,Sergeli,Farrux Jo'raov,2025-10-27,new
L0208,Zafar Tojiboyov,+998554710584,instagram,AI Asoslari,Sergeli,Diyor Yusupov,2025-10-17,lost
L0209,Shuhrat Nazarov,+998985600556,instagram,AI Asoslari,Chilonzor,Diyor Yusupov,2025-10-23,enrolled
L0210,Muhammadali Boltaov,+998901582623,facebook,SMM,Yunusobod,Diyor Islomov,2025-10-08,enrolled
L0211,Nigora Nazarova,+998955757961,instagram,Ingliz tili,Sergeli,Sanjar Xolmatov,2025-10-09,trial
L0212,Diyora Rustamova,+998989112144,instagram,Ingliz tili,Sergeli,Yulduz Xudoyberdiova,2025-10-29,lost
L0213,Lola Yoqubova,+998971063768,referral,Data Science,Chilonzor,Lola Rustamova,2025-10-05,contacted
L0214,Nigora Toshpulatova,+998772337606,hh,Data Science,Sergeli,Lola Rustamova,2025-10-06,new
L0215,Sardor Boltaov,+998556033179,instagram,Frontend,Chilonzor,Sirojiddin Xolmatov,2025-10-09,lost
L0216,Umid Ergashov,+998771277147,walk_in,Frontend,Chilonzor,Farrux Jo'raov,2025-10-31,enrolled
L0217,Zebo Abdullaova,+998337761913,walk_in,Frontend,Yunusobod,Farrux Jo'raov,2025-10-15,new
L0218,Rayhona Tojiboyova,+998975529565,referral,AI Asoslari,Yunusobod,Farrux Jo'raov,2025-10-10,contacted
L0219,Nargiza Tojiboyova,+998979181458,google,Data Science,Yunusobod,Diyor Islomov,2025-10-12,trial
L0220,Ravshan Hoshimov,+998985925473,walk_in,Grafik Dizayn,Chilonzor,Sanjar Xolmatov,2025-10-14,enrolled
L0221,Iroda Abdurahmonova,+998946294416,instagram,Ingliz tili,Sergeli,Diyor Yusupov,2025-10-10,contacted
L0222,Nargiza Xolmatova,+998337732467,telegram,SMM,Yunusobod,Lola Rustamova,2025-10-19,new
L0223,Shoxrux Karimov,+998996803857,hh,Frontend,Yunusobod,Sanjar Xolmatov,2025-10-28,trial
L0224,Mehriniso Tursunova,+998945671819,hh,Ingliz tili,Chilonzor,Akmal Yusufov,2025-10-16,lost
L0225,Shirin G'aniova,+998776484863,instagram,Frontend,Yunusobod,Lola Rustamova,2025-10-08,lost
L0226,Shirin Tojiboyova,+998916361669,referral,Data Science,Sergeli,Farrux Jo'raov,2025-10-24,trial
L0227,Shoxrux Tojiboyov,+998885359457,instagram,Ingliz tili,Chilonzor,Yulduz Xudoyberdiova,2025-10-22,contacted
L0228,Sitora Abdullaova,+998556469438,referral,Backend,Sergeli,Sirojiddin Xolmatov,2025-10-15,contacted
L0229,Diyor Xudoyberdiov,+998988972997,instagram,Frontend,Chilonzor,Sanjar Xolmatov,2025-10-08,lost
L0230,Rayhona Rustamova,+998913198774,facebook,SMM,Yunusobod,Diyor Yusupov,2025-10-15,trial
L0231,Bekzod Abdullaov,+998908191966,referral,AI Asoslari,Sergeli,Diyor Yusupov,2025-10-09,trial
L0232,Sitora Jo'raova,+998981682574,instagram,Ingliz tili,Chilonzor,Akmal Yusufov,2025-10-20,trial
L0233,Malika Abdurahmonova,+998988534813,telegram,Backend,Sergeli,Akmal Yusufov,2025-10-10,lost
L0234,Lola Abdullaova,+998946383073,walk_in,Data Science,Yunusobod,Diyor Islomov,2025-10-05,contacted
L0235,Nilufar G'aniova,+998998128208,telegram,Grafik Dizayn,Sergeli,Farrux Jo'raov,2025-10-23,new
L0236,Zebo Toshpulatova,+998977713006,telegram,SMM,Yunusobod,Lola Rustamova,2025-10-29,lost
