call_id,lead_id,operator,date,direction,duration_sec,outcome,score,stage
C00301,L0062,Jamshid Umarov,2025-10-12,out,637,callback,55,pitch
C00302,L0389,Diyora Rustamova,2026-01-15,out,437,refused,31,needs
C00303,L0572,Sardor Yusufov,2026-02-10,out,466,interested,85,opening
C00304,L1125,Diyora Rustamova,2026-08-23,out,762,callback,48,close
C00305,L1157,Dilnoza Karimova,2026-08-07,out,198,interested,80,pitch
C00306,L0218,Sherzod Nishonov,2025-10-22,out,664,interested,66,needs
C00307,L0490,Jamshid Umarov,2026-03-11,out,201,no_answer,10,needs
C00308,L0051,Sardor Yusufov,2025-09-21,out,427,callback,67,needs
C00309,L0105,Dilnoza Karimova,2025-10-09,out,761,interested,62,opening
C00310,L0980,Diyora Rustamova,2026-06-27,out,103,refused,50,needs
C00311,L0661,Dilnoza Karimova,2026-04-19,out,419,callback,53,opening
C00312,L0571,Sardor Yusufov,2026-03-24,in,868,interested,75,close
C00313,L0270,Sherzod Nishonov,2025-12-26,out,337,no_answer,2,close
C00314,L0083,Jamshid Umarov,2025-10-31,out,383,callback,57,close
C00315,L1191,Diyora Rustamova,2026-08-15,in,776,interested,76,needs
C00316,L0870,Sardor Yusufov,2026-05-23,in,864,enrolled,94,pitch
C00317,L0334,Botir Nazarov,2025-12-19,in,80,enrolled,98,needs
C00318,L0198,Dilnoza Karimova,2025-12-24,in,30,interested,74,pitch
C00319,L0882,Botir Nazarov,2026-05-30,in,219,enrolled,89,needs
C00320,L1062,Jamshid Umarov,2026-07-31,out,59,callback,54,needs
C00321,L1148,Diyora Rustamova,2026-08-21,in,576,refused,29,pitch
C00322,L0099,Sherzod Nishonov,2025-11-01,in,594,interested,74,pitch
C00323,L0068,Dilnoza Karimova,2025-10-12,in,166,refused,42,needs
C00324,L0589,Lola Qodirova,2026-04-15,out,613,callback,73,pitch
C00325,L0851,Lola Qodirova,2026-05-25,out,868,enrolled,81,opening
C00326,L1062,Sardor Yusufov,2026-08-29,in,586,no_answer,20,needs
C00327,L1094,Farrux Ahmadov,2026-07-28,out,710,callback,74,pitch
C00328,L0087,Sherzod Nishonov,2025-10-21,in,236,callback,71,needs
C00329,L0054,Botir Nazarov,2025-10-01,out,254,interested,83,pitch
C00330,L1061,Lola Qodirova,2026-08-15,out,823,no_answer,16,pitch
C00331,L1121,Jamshid Umarov,2026-08-29,out,696,enrolled,100,needs
C00332,L0259,Farrux Ahmadov,2025-12-08,out,343,interested,74,opening
C00333,L0227,Botir Nazarov,2025-11-05,out,563,callback,66,opening
C00334,L0549,Dilnoza Karimova,2026-03-30,out,342,no_answer,25,close
C00335,L0998,Sherzod Nishonov,2026-07-20,out,54,refused,18,opening
C00336,L0653,Sherzod Nishonov,2026-03-18,in,717,interested,74,needs
C00337,L0218,Botir Nazarov,2025-10-12,out,541,refused,19,pitch
C00338,L0914,Farrux Ahmadov,2026-06-18,in,720,callback,50,close
C00339,L0310,Sherzod Nishonov,2025-12-23,in,49,interested,79,pitch
C00340,L0433,Lola Qodirova,2026-02-18,out,109,interested,61,needs
C00341,L0407,Farrux Ahmadov,2026-01-10,out,563,callback,48,opening
C00342,L0035,Sardor Yusufov,2025-09-29,in,829,enrolled,100,close
C00343,L0422,Jamshid Umarov,2026-02-28,out,885,no_answer,19,pitch
C00344,L0784,Sherzod Nishonov,2026-05-26,in,187,refused,30,pitch
C00345,L0958,Botir Nazarov,2026-06-16,out,713,refused,25,pitch
C00346,L0706,Farrux Ahmadov,2026-03-20,out,808,refused,31,close
C00347,L0584,Sardor Yusufov,2026-03-20,in,231,refused,26,needs
C00348,L0361,Lola Qodirova,2025-12-25,out,480,refused,40,opening
C00349,L0907,Lola Qodirova,2026-07-14,in,685,callback,58,opening
C00350,L0235,Diyora Rustamova,2025-12-08,in,683,interested,77,needs
C00351,L0593,Jamshid Umarov,2026-02-23,in,476,interested,69,pitch
C00352,L0974,Diyora Rustamova,2026-08-03,in,111,interested,86,close
C00353,L0216,Dilnoza Karimova,2025-11-04,in,475,callback,62,opening
C00354,L0717,Sardor Yusufov,2026-04-16,in,115,interested,80,opening
C00355,L0757,Lola Qodirova,2026-05-24,out,774,refused,29,close
C00356,L0203,Botir Nazarov,2025-10-09,out,740,no_answer,8,opening
C00357,L1106,Botir Nazarov,2026-08-16,in,173,callback,53,opening
C00358,L0631,Dilnoza Karimova,2026-02-20,in,860,no_answer,1,pitch
C00359,L0902,Sardor Yusufov,2026-07-21,out,899,interested,88,needs
C00360,L0622,Lola Qodirova,2026-03-24,in,304,interested,90,opening
C00361,L0800,Lola Qodirova,2026-05-27,out,323,enrolled,74,close
C00362,L0712,Sardor Yusufov,2026-03-13,out,300,refused,31,pitch
C00363,L0567,Sardor Yusufov,2026-03-28,out,81,enrolled,88,pitch
C00364,L0663,Botir Nazarov,2026-05-13,out,551,interested,68,opening
C00365,L0734,Farrux Ahmadov,2026-05-01,out,98,refused,27,needs
C00366,L1126,Sherzod Nishonov,2026-08-31,out,361,enrolled,95,needs
C00367,L0068,Diyora Rustamova,2025-09-09,out,306,refused,36,pitch
C00368,L0675,Sherzod Nishonov,2026-04-07,in,640,no_answer,20,opening
